sample_id,ab,bc,direction,source_sequence,target_sequence,conformer,rotaconformer,crmsd_threshold,overlap_rmsd,candidate_conformers,pose_count,pose_dir
0,CC,CC,forward,CC,CC,8304,15719,0.5008,0.5008,19,16,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-000
1,AC,CC,backward,CC,AC,8528,6683,0.6840,0.8585,36,1041,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-001
2,CC,CC,backward,CC,CC,5515,9900,0.8328,0.8328,403,2001,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-002
3,AC,CC,forward,AC,CC,1736,9648,0.7662,0.7667,863,5360,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-003
4,AC,CA,backward,CA,AC,5,7414,0.5449,0.5690,1495,4016,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-004
5,AA,AA,forward,AA,AA,9734,25374,0.7249,0.8258,1021,27538,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-005
6,AC,CC,forward,AC,CC,5906,5471,0.9972,1.2774,5582,3993386,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-006
7,AC,CC,backward,CC,AC,624,9540,0.7370,0.7499,2561,52827,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-007
8,CA,AC,backward,AC,CA,3406,10211,0.6380,0.6441,88,166,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-008
9,AA,AC,backward,AC,AA,5164,1036,0.9362,0.9422,1523,60628,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-009
10,CC,CA,forward,CC,CA,4708,13428,0.6766,0.6847,747,3140,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-010
11,CA,AA,backward,AA,CA,5024,17310,0.5258,0.6426,36,201,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-011
12,AA,AA,backward,AA,AA,1989,3675,0.8098,0.8114,203,1633,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-012
13,CC,CA,forward,CC,CA,2332,1188,0.5565,0.5569,1010,1072,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-013
14,CA,AC,backward,AC,CA,4913,15628,0.5266,0.5266,80,50,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-014
15,CA,AC,forward,CA,AC,5081,8285,0.5041,0.5944,8,14,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-015
16,CA,AC,backward,AC,CA,431,20721,0.5199,1.1345,1310,657264,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-016
17,AA,AC,forward,AA,AC,7987,19095,0.6979,1.1428,29,12863,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-017
18,AA,AA,backward,AA,AA,4915,11827,0.6249,0.6470,662,338,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-018
19,CC,CA,backward,CA,CC,7416,11369,0.9502,0.9659,36,706,/home/sjoerd/data/work/crocodile/grow-implementation/reference_pose_dirs/case-019
